,x,y,S_yx,S_xy,ES,Directionality,Delay
52,IWM-gauge-17,IWM-gauge-323,3.0,3.0,0.15,-0.05,-1.6666666666666667
53,IWM-gauge-17,IWM-gauge-324,3.0,4.0,0.08235294117647059,0.023529411764705882,3.25
54,IWM-gauge-17,IWM-gauge-326,3.0,3.0,0.07407407407407407,0.037037037037037035,4.333333333333333
55,IWM-gauge-17,IWM-gauge-345,7.0,7.0,0.3111111111111111,0.06666666666666667,1.0
56,IWM-gauge-17,IWM-gauge-349,6.0,6.0,0.12244897959183673,0.04081632653061224,3.4
57,IWM-gauge-17,IWM-gauge-354,2.0,2.0,0.05333333333333334,0.02666666666666667,4.0
58,IWM-gauge-17,IWM-gauge-360,4.0,4.0,0.09523809523809523,0.047619047619047616,5.0
59,IWM-gauge-17,IWM-gauge-363,20.0,21.0,0.44565217391304346,-0.03260869565217391,-0.9444444444444444
60,IWM-gauge-17,IWM-gauge-364,4.0,4.0,0.08791208791208792,0.02197802197802198,2.25
61,IWM-gauge-17,IWM-gauge-369,1.0,1.0,0.025974025974025976,0.012987012987012988,4.0
62,IWM-gauge-17,IWM-gauge-376,3.0,3.0,0.08955223880597014,0.014925373134328358,1.0
63,IWM-gauge-17,IWM-gauge-380,2.0,2.0,0.05,0.0125,3.0
64,IWM-gauge-17,IWM-gauge-391,9.0,9.0,0.26865671641791045,0.07462686567164178,2.0
65,IWM-gauge-17,IWM-gauge-394,6.0,6.0,0.15,-0.025,-0.6666666666666666
66,IWM-gauge-17,IWM-gauge-396,8.0,8.0,0.13559322033898305,0.01694915254237288,0.625
67,IWM-gauge-17,IWM-gauge-407,6.0,7.0,0.12264150943396226,-0.009433962264150943,-0.5714285714285714
68,IWM-gauge-17,IWM-gauge-410,3.0,3.0,0.08,0.02666666666666667,3.0
69,IWM-gauge-17,IWM-gauge-411,6.0,6.0,0.11764705882352941,0.00980392156862745,0.6666666666666666
70,IWM-gauge-17,IWM-gauge-412,8.0,8.0,0.12903225806451613,0.03225806451612903,1.375
71,IWM-gauge-17,IWM-gauge-414,5.0,4.0,0.09473684210526316,0.0,-0.25
72,IWM-gauge-17,IWM-gauge-420,5.0,5.0,0.11363636363636363,0.011363636363636364,2.0
73,IWM-gauge-17,IWM-gauge-423,12.0,12.0,0.20512820512820512,-0.008547008547008548,0.16666666666666666
74,IWM-gauge-17,IWM-gauge-425,8.0,8.0,0.1568627450980392,0.00980392156862745,0.25
75,IWM-gauge-17,IWM-gauge-427,10.0,10.0,0.17543859649122806,0.0,-0.3
76,IWM-gauge-17,IWM-gauge-428,9.0,9.0,0.16216216216216217,-0.009009009009009009,-0.5555555555555556
77,IWM-gauge-17,IWM-gauge-429,9.0,9.0,0.17475728155339806,0.009708737864077669,0.2222222222222222
78,IWM-gauge-17,IWM-gauge-430,8.0,8.0,0.17204301075268819,0.010752688172043012,0.875
